GeneSymbol_Mouse,GeneSymbol_Human,Source,Daneman_Filter,In_Walchli_EC,In_Yang_EC,In_Winkler_EC,Human_BBB_Datasets_N
Id3,ID3,Daneman,liver_only,TRUE,FALSE,FALSE,1
Ier5,IER5,Daneman,liver_and_lung,TRUE,FALSE,FALSE,1
Ifi30,IFI30,Daneman,liver_and_lung,TRUE,FALSE,FALSE,1
Ifi35,IFI35,Daneman,liver_only,TRUE,FALSE,FALSE,1
Ifih1,IFIH1,Daneman,liver_only,TRUE,FALSE,TRUE,2
Ifit1,IFIT1B,Daneman,liver_only,TRUE,FALSE,FALSE,1
Ifit3,IFIT3,Daneman,liver_only,TRUE,FALSE,TRUE,2
Ifnar1,IFNAR1,Munji,NA,TRUE,FALSE,FALSE,1
Ift81,IFT81,Munji,NA,TRUE,FALSE,FALSE,1
Igf1r,IGF1R,Both,liver_and_lung,TRUE,FALSE,TRUE,2
Igf2,IGF2,Daneman,liver_and_lung,TRUE,FALSE,FALSE,1
Igfbp2,IGFBP2,Daneman,lung_only,TRUE,FALSE,TRUE,2
Igfbp4,IGFBP4,Daneman,lung_only,TRUE,FALSE,FALSE,1
Igsf5,IGSF5,Munji,NA,FALSE,FALSE,FALSE,0
Il10rb,IL10RB,Daneman,liver_only,TRUE,FALSE,FALSE,1
Il13ra1,IL13RA1,Daneman,liver_and_lung,TRUE,FALSE,TRUE,2
Il17rd,IL17RD,Munji,NA,TRUE,FALSE,FALSE,1
Il18,IL18,Daneman,liver_only,TRUE,FALSE,FALSE,1
Il27ra,IL27RA,Daneman,lung_only,TRUE,FALSE,FALSE,1
Il2rg,IL2RG,Daneman,lung_only,TRUE,FALSE,FALSE,1
Il6ra,IL6R,Munji,NA,TRUE,FALSE,FALSE,1
Ildr2,ILDR2,Munji,NA,TRUE,FALSE,FALSE,1
Impact,IMPACT,Daneman,liver_only,TRUE,FALSE,FALSE,1
Impad1,IMPAD1,Daneman,lung_only,TRUE,FALSE,FALSE,1
Impdh2,IMPDH2,Daneman,lung_only,TRUE,FALSE,FALSE,1
Incenp,INCENP,Daneman,lung_only,TRUE,FALSE,FALSE,1
Ing5,ING5,Daneman,liver_only,TRUE,FALSE,FALSE,1
Inhbb,INHBB,Daneman,lung_only,TRUE,FALSE,FALSE,1
Inpp5f,INPP5F,Both,liver_only,TRUE,FALSE,FALSE,1
Insig2,INSIG2,Daneman,liver_only,TRUE,FALSE,FALSE,1
Insr,INSR,Munji,NA,TRUE,FALSE,TRUE,2
Ints9,INTS9,Munji,NA,TRUE,FALSE,FALSE,1
Ipo9,IPO9,Daneman,lung_only,TRUE,FALSE,FALSE,1
Iqgap2,IQGAP2,Daneman,lung_only,TRUE,FALSE,TRUE,2
Irf7,IRF7,Daneman,liver_only,TRUE,FALSE,FALSE,1
Irs1,IRS1,Daneman,liver_and_lung,TRUE,FALSE,FALSE,1
Ism1,ISM1,Munji,NA,TRUE,FALSE,FALSE,1
Isyna1,ISYNA1,Munji,NA,TRUE,FALSE,FALSE,1
Itga4,ITGA4,Munji,NA,TRUE,FALSE,FALSE,1
Itga6,ITGA6,Both,liver_only,TRUE,TRUE,TRUE,3
Itga8,ITGA8,Daneman,liver_and_lung,TRUE,FALSE,TRUE,2
Itgb1,ITGB1,Daneman,lung_only,TRUE,FALSE,FALSE,1
Itgb5,ITGB5,Daneman,liver_and_lung,TRUE,FALSE,FALSE,1
Itih5,ITIH5,Both,liver_only,TRUE,FALSE,FALSE,1
Itm2a,ITM2A,Munji,NA,TRUE,FALSE,TRUE,2
Itpr3,ITPR3,Daneman,liver_only,TRUE,FALSE,TRUE,2
